1,Province/State,Country/Region,Unnamed: 3,Lat,Long,1/21/2020 10:00 PM,1/22/2020 12:00 PM,1/23/2020 12:00 PM,1/24/2020 12:00 AM,1/24/2020 12:00 PM,1/25/2020 12:00 AM,1/25/2020 12:00 PM,1/25/2020 10:00 PM,1/26/2020 11:00 AM,1/26/2020 11:00 PM,1/27/2020 9:00 AM,1/27/2020 7:00 PM,1/27/2020 8:30 PM,1/28/2020 1:00 PM,1/28/2020 6:00 PM,1/28/2020 11:00 PM,1/29/2020 1:30 PM,1/29/2020 2:30 PM,1/29/2020 9:00 PM,1/30/2020 11:00 AM,1/31/2020 2:00 PM,1/31/2020 7:00 PM,2/1/2020 10:00 AM,2/2/2020 9:00 PM,2/3/2020 9:00 PM,2/4/2020 9:40 AM,2/4/2020 10:00 PM,2/5/2020 9:00 AM,2/5/2020 11:00 PM,2/6/2020 9:00 AM,2/6/2020 2:20 PM,2/7/2020 8:13 PM,2/7/2020 10:50 PM,2/8/2020 10:24 AM,2/8/2020 11:04 PM,2/9/2020 10:30 AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Anhui,Mainland China,,31.825709999999997,117.2264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0
3.0,Beijing,Mainland China,,40.18238,116.4142,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
4.0,Chongqing,Mainland China,,30.05718,107.874,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
5.0,Fujian,Mainland China,,26.07783,117.9895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
6.0,Gansu,Mainland China,,36.0611,103.8343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
7.0,Guangdong,Mainland China,,23.33841,113.42200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
8.0,Guangxi,Mainland China,,23.829079999999998,108.7881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0
9.0,Guizhou,Mainland China,,26.81536,106.8748,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.0,Hainan,Mainland China,,19.19673,109.7455,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0
11.0,Hebei,Mainland China,,38.0428,114.5149,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
12.0,Heilongjiang,Mainland China,,47.861999999999995,127.7622,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,6.0,6.0
13.0,Henan,Mainland China,,33.882020000000004,113.61399999999999,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,6.0,6.0
14.0,Hubei,Mainland China,,30.975640000000002,112.2707,,,,24.0,24.0,32.0,40.0,52.0,52.0,76.0,76.0,76.0,100.0,100.0,125.0,125.0,125.0,125.0,162.0,162.0,204.0,249.0,249.0,350.0,414.0,414.0,479.0,479.0,549.0,549.0,549.0,618.0,699.0,699.0,780.0,780.0
15.0,Hunan,Mainland China,,27.610409999999998,111.7088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
16.0,Inner Mongolia,Mainland China,,44.09448,113.9456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
17.0,Jiangsu,Mainland China,,32.97027,119.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
18.0,Jiangxi,Mainland China,,27.614009999999997,115.7221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
19.0,Jilin,Mainland China,,43.66657,126.1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
20.0,Liaoning,Mainland China,,41.292840000000005,122.6086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
21.0,Ningxia,Mainland China,,37.26923,106.1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
22.0,Qinghai,Mainland China,,35.65945,96.02564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
23.0,Shaanxi,Mainland China,,35.19165,108.8701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
24.0,Shandong,Mainland China,,36.34377,118.1529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0
25.0,Shanghai,Mainland China,,31.20327,121.4554,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26.0,Shanxi,Mainland China,,37.577690000000004,112.2922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
27.0,Sichuan,Mainland China,,30.617140000000003,102.7103,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28.0,Tianjin,Mainland China,,39.293620000000004,117.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29.0,Tibet,Mainland China,,30.1534,88.7879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
30.0,Xinjiang,Mainland China,,41.11981,85.17822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
31.0,Yunnan,Mainland China,,24.97411,101.4868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
32.0,Zhejiang,Mainland China,,29.182509999999997,120.0985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
33.0,Hong Kong,Hong Kong,,22.3193,114.1694,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34.0,Macau,Macau,,22.1987,113.5439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
35.0,Taiwan,Taiwan,,23.6978,120.9605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
36.0,"Seattle, WA",US,,47.7511,-120.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
37.0,"Chicago, IL",US,,40.6331,-89.3985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
38.0,"Tempe, AZ",US,,34.0489,-111.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
39.0,,Japan,,35.6762,139.6503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
40.0,,Thailand,,13.7563,100.5018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
41.0,,South Korea,,37.5665,126.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
42.0,,Singapore,,1.3521,103.8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
43.0,,Vietnam,,21.0278,105.8342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
44.0,,France,,46.2276,2.2137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
45.0,,Nepal,,28.3949,84.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
46.0,,Malaysia,,4.2105,101.9758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
47.0,"Toronto, ON",Canada,,43.6532,-79.3832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
48.0,British Columbia,Canada,,49.2827,-123.12100000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
49.0,"Orange, CA",US,,33.7879,-117.8531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
50.0,"Los Angeles, CA",US,,34.0522,-118.2437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
51.0,New South Wales,Australia,,-33.8688,151.2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
52.0,Victoria,Australia,,-37.8136,144.9631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
53.0,Queensland,Australia,,-27.4698,153.0251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
54.0,,Cambodia,,12.5657,104.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
55.0,,Sri Lanka,,7.8731,80.7718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
56.0,,Germany,,51.1657,10.4515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
57.0,,Finland,,61.9241,25.7482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
58.0,,United Arab Emirates,,23.4241,53.8478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
59.0,,Philippines,,12.8797,121.774,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60.0,,India,,20.5937,78.9629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
61.0,"London, ON",Canada,,42.9849,-81.2453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
62.0,,Italy,,41.8719,12.5674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
63.0,,UK,,55.3781,-3.4360000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
64.0,,Russia,,61.523999999999994,105.3188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
65.0,,Sweden,,60.1282,18.6435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
66.0,"Santa Clara, CA",US,,37.3541,-121.9552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
67.0,,Spain,,40.4637,-3.7492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
68.0,South Australia,Australia,,-34.9285,138.6007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
69.0,"Boston, MA",US,,42.3601,-71.0589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
70.0,"San Benito, CA",US,,36.5761,-120.9876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
71.0,,Belgium,,50.5039,4.4699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
72.0,"Madison, WI",US,,43.0731,-89.4012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
73.0,Cruise Ship,Others,,35.4437,129.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
